src_ip,dst_ip,bytes,packets,protocol,process,anomaly_score,is_anomaly,timestamp
10.71.162.243,44.235.209.72,842,1,TCP,brave.exe,0.0,False,2025-09-08T06:21:57.539910
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:21:57.650472
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:21:58.025466
44.235.209.72,10.71.162.243,118,1,TCP,Unknown,0.0,False,2025-09-08T06:21:58.048251
10.71.162.243,44.235.209.72,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:21:58.087381
10.71.162.243,44.224.210.6,55,1,TCP,brave.exe,0.0,False,2025-09-08T06:21:58.293056
44.235.209.72,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:21:58.809427
44.224.210.6,10.71.162.243,66,1,TCP,Unknown,0.0,False,2025-09-08T06:21:58.831509
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:21:59.655375
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:01.664442
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:03.666740
204.79.197.203,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:03.701385
10.71.162.243,44.224.210.6,132,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.081173
10.71.162.243,44.224.210.6,100,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.103371
10.71.162.243,44.224.210.6,492,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.126215
44.224.210.6,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.423386
44.224.210.6,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.445286
44.224.210.6,10.71.162.243,100,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.466287
10.71.162.243,44.224.210.6,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.486651
44.224.210.6,10.71.162.243,544,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.511292
44.224.210.6,10.71.162.243,92,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.533342
10.71.162.243,44.224.210.6,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.554132
10.71.162.243,44.224.210.6,96,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:04.576293
44.224.210.6,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:04.883354
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:05.669891
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:07.673685
20.42.65.94,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:07.953684
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:09.679689
20.42.65.94,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:10.420171
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:11.684008
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:13.693306
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:15.701650
10.71.162.243,23.38.59.250,54,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:16.184033
23.38.59.250,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:16.280647
10.71.162.243,23.38.59.250,54,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:16.303075
23.38.59.250,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:16.325747
10.71.162.243,23.38.59.250,54,1,TCP,svchost.exe,0.0,False,2025-09-08T06:22:16.351556
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:17.716179
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:19.720305
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:21.722467
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:23.726859
10.71.162.243,44.235.209.72,120,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.000068
10.71.162.243,44.235.209.72,100,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.021653
10.71.162.243,44.235.209.72,1354,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.042387
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:25.329484
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:25.350392
44.235.209.72,10.71.162.243,100,1,TCP,Unknown,0.0,False,2025-09-08T06:22:25.371518
10.71.162.243,44.235.209.72,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.391802
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:25.592043
10.71.162.243,44.235.209.72,1354,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.613256
10.71.162.243,44.235.209.72,804,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:25.633532
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:25.738735
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:25.996558
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:26.101317
44.235.209.72,10.71.162.243,117,1,TCP,Unknown,0.0,False,2025-09-08T06:22:26.124393
10.71.162.243,44.235.209.72,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:26.158447
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:27.742596
10.71.162.243,44.235.209.72,124,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:29.111141
10.71.162.243,44.235.209.72,1354,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:29.133875
10.71.162.243,44.235.209.72,1354,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:29.156137
10.71.162.243,44.235.209.72,808,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:29.174990
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:29.482532
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:29.588891
10.71.162.243,224.77.77.77,155,1,UDP,ArmouryCrate.UserSessionHelper.exe,0.0,False,2025-09-08T06:22:29.748636
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:29.769174
44.235.209.72,10.71.162.243,54,1,TCP,Unknown,0.0,False,2025-09-08T06:22:29.807872
44.235.209.72,10.71.162.243,117,1,TCP,Unknown,0.0,False,2025-09-08T06:22:29.828793
10.71.162.243,44.235.209.72,54,1,TCP,brave.exe,0.0,False,2025-09-08T06:22:29.870089
